series,wiki_title,action,set_series,set_wiki_title,full_name,operator_jp,operator_en,commons_prefix,commons_root_category,commons_operator_roots,needs_review,reason
DBR600形,JR北海道DBR600形ディーゼル機関車,set,,,,['JR北海道'],['JR Hokkaido'],HTR600,HTR600,{'JR Hokkaido': 'HTR600'},False,manual Commons root
キハ183系,JR九州キハ183系気動車,set,,,,"['JR北海道', 'JR九州']","['JR Hokkaido', 'JR Kyushu']",JNR Kiha 183 series,JNR Kiha 183 series,"{'JR Hokkaido': 'JNR Kiha 183 series', 'JR Kyushu': 'JNR Kiha 183 series'}",False,temporary shared root before operator-specific split
キクハ32形,国鉄キハ32形気動車#キクハ32形,set,,,,['JR四国'],['JR Shikoku'],JR Shikoku Kikuha 32,JR Shikoku Kikuha 32,{'JR Shikoku': 'JR Shikoku Kikuha 32'},False,avoid numeric fallback to unrelated JNR 32 passenger-car category
キハ56系,国鉄キハ56系気動車,exclude,,,,,,,,,,covered by キハ58系
キハ22形,国鉄キハ20系気動車,exclude,,,,,,,,,,covered by キハ20系
キハ400系,国鉄キハ40系気動車 (2代),exclude,,,,,,,,,,covered by キハ40系
7200系,国鉄121系電車#JR四国7200系電車,set,,,,['JR四国'],['JR Shikoku'],JR Shikoku 7200,JR Shikoku 7200,{'JR Shikoku': 'JR Shikoku 7200'},False,manual Commons root
9000系,JR東海キヤ97形気動車#JR四国9000系気動車,exclude,,,,,,,,,,covered by キヤ97系
キハ57形,国鉄キハ57系気動車,exclude,,,,,,,,,,covered by キハ58系
2R形,かんぱち・いちろく,exclude,,,,,,,,,,キハ48改造車
キハ140系,国鉄キハ40系気動車 (2代)#機関換装・高出力化（キハ140系）,exclude,,,,,,,,,,covered by キハ40系
DD17形,国鉄DD17形ディーゼル機関車,exclude,,,,,,,,,,no Commons root; old crawler skipped rootless rows
DD18形,JR東日本DD18形ディーゼル機関車,exclude,,,,,,,,,,no Commons root; old crawler skipped rootless rows
483系,国鉄485系電車,exclude,,,,,,,,,,covered by 485系/JNR 485; old crawler skipped rootless row
453系,国鉄457系電車,exclude,,,,,,,,,,covered by 457系/JNR 457; old crawler skipped rootless row
901系,JR東日本209系電車,exclude,,,,,,,,,,covered by 209系; old crawler skipped rootless row
クモヤ743形,JR東日本クモヤ743形電車,exclude,,,,,,,,,,no Commons root; old crawler skipped rootless rows
ED500形,JR貨物ED500形電気機関車,exclude,,,,,,,,,,no Commons root; old crawler skipped rootless rows
285系,JR西日本285系電車,set,,,,"['JR東海', 'JR西日本']","['JR Central', 'JR West']",JR West 285,JR West/Central 285,"{'JR Central': 'JR West/Central 285', 'JR West': 'JR West/Central 285'}",False,root name doesn't follow rules.
